PC;PMg;PP;PS;Psi;Pti;PNb;PCr;PBr;Pal;PV;Pcu;PCl;Pni;Pmo;Pn;Dureza
0.23;1.26;14;4;0.13;13;2;0.01;0.0003;27;1;0.01;0.0022;0.01;3;0.0064;286
228;1.26;13;3;0.13;12;0.01;0.03;0.0004;0.04;2;0.03;0.0023;0.02;7;0;293
0.23;1.23;16;0.0079;0.13;0.01;1;0.03;0.0002;0.04;2;0.04;2;0.02;9;0.0056;302
245;1.26;0.02;0.0052;131;14;5;0.03;0.0005;37;5;0.01;0.0023;0.02;14;0.0033;293
231;1.26;19;0.0049;131;12;1;0.02;0.0002;38;3;0.04;0.0027;0.03;6;0.0035;311
0.22;1.24;16;0.0076;132;13;4;0.03;0.0005;0.04;5;0.02;0.0025;0.03;15;0.0054;321
0.22;1.24;16;0.0076;132;13;4;0.03;0.0005;0.04;5;0.02;0.0025;0.03;15;0.0054;311
249;1.31;18;0.0065;132;15;3;0.02;0.0002;34;6;0.01;0.0027;0.02;6;0.0053;321
239;1.25;11;8;132;18;0.08;0.02;0.0005;41;57;0.02;0.0031;0.02;0.01;0.0059;311
238;1.26;21;0.0067;133;13;0.01;0.03;0.0005;37;3;0.02;2;0.02;7;0;311
0.22;1.23;19;8;133;12;2;0.03;0.0004;45;6;0.03;0.0032;0.04;9;0.0057;321
242;1.24;15;5;134;15;4;0.03;0.0005;44;5;0.02;0.0027;0.02;15;0.0054;302
235;1.27;15;0.0064;134;0.01;1;0.02;0.0003;35;3;0.04;0.0025;0.03;0.01;0.0076;311
235;1.27;15;0.0064;134;0.01;1;0.02;0.0003;35;3;0.04;0.0025;0.03;0.01;0.0076;311
232;1.26;12;0.0073;135;11;1;0.02;0.0005;45;3;0.02;0.0026;0.02;0.01;0.0065;293
232;1.26;12;0.0073;135;11;1;0.02;0.0005;45;3;0.02;0.0026;0.02;0.01;0.0065;286
0.23;1.33;19;0.0058;136;13;1;0.03;0.0004;36;3;0.02;0.0023;0.02;8;0.0025;332
0.23;1.24;15;0.0057;137;14;4;0.02;0.0005;34;7;0.03;0.0026;0.04;15;0.0068;311
233;1.26;14;5;137;12;1;0.02;0.0003;43;3;0.02;0.0029;0.03;6;0.0035;302
245;1.26;9;8;139;12;1;0.02;0.0002;51;3;0.02;0.0027;0.03;6;0.0055;293
0.22;1.24;21;0.0054;139;13;0.01;0.02;0.0003;48;2;0.01;0.0028;0.02;7;6;311
227;1.24;0.02;7;0.14;13;3;0.03;0.0005;28;8;0.02;0.0026;0.02;15;0.0056;302
251;1.25;18;0.0059;141;15;4;0.04;0.0003;38;5;0.03;0.0029;0.03;11;0.0046;311
237;1.26;9;0.0058;142;12;1;0.01;0.0003;28;4;0.05;0.0028;0.03;6;0.0054;302
248;1.31;21;0.0034;145;12;3;0.02;0.0002;28;8;0.02;0.0023;0.03;7;0.0055;311
244;1.26;15;0.0038;146;13;0.01;0.02;0.0005;39;2;0.02;0.0021;0.02;6;6;293
244;1.26;15;0.0038;146;13;0.01;0.02;0.0005;39;2;0.02;0.0021;0.02;6;6;302
238;1.27;14;8;146;9;1;0.03;0.0002;0.06;2;0.03;0.0027;0.03;11;6;321
236;1.24;14;0.0033;148;13;0.01;0.02;0.0004;38;2;0.01;0.0012;0.02;6;0.0069;293
229;1.25;19;0.0047;148;13;1;0.03;0.0005;36;2;0.06;0.0023;0.03;11;0.0052;293
234;1.25;14;0.0057;148;12;1;0.02;0.0002;0.04;2;0.02;0.0024;0.02;6;0.0053;293
232;1.27;13;0.0035;0.15;14;2;0.01;0.0003;29;2;0.01;0.0032;0.01;1;6;286
222;1.22;23;7;0.15;13;4;0.03;0.0005;0.03;8;0.02;0.0024;0.02;15;0.0064;311
254;1.24;17;0.0054;0.15;13;1;0.02;0.0005;31;3;0.01;0.0025;0.02;6;0.0038;311
226;1.27;12;1;0.15;15;6;0.01;0.0005;37;2;0.01;0.0037;0.01;3;4;302
222;1.28;13;0.0027;0.15;13;2;0.01;0.0003;0.03;2;0.01;0.0029;0.01;2;0.0047;277
227;1.26;12;3;0.15;15;2;0.01;0.0003;24;2;0.02;0.0037;0.01;4;0.0054;293
241;1.29;13;0.0045;0.15;13;1;0.02;0.0005;42;4;0.02;0.0026;0.03;6;0.0049;321
235;1.25;15;0.0053;0.15;12;9;0.02;0.0005;41;2;0.01;0.0016;0.02;6;0.0051;311
245;1.29;21;0.0055;0.15;15;3;0.05;0.0003;27;6;0.05;0.0024;0.04;12;0.0055;302
245;1.29;21;0.0055;0.15;15;3;0.05;0.0003;27;6;0.05;0.0024;0.04;12;0.0055;293
254;1.28;15;0.0044;0.15;15;4;0.03;0.0004;42;5;0.02;0.0019;0.03;13;0.0044;332
254;1.28;15;0.0044;0.15;15;4;0.03;0.0004;42;5;0.02;0.0019;0.03;13;0.0044;302
232;1.24;18;4;0.15;12;1;0.03;0.0004;34;3;0.03;0.0025;0.03;8;0.0042;293
232;1.25;13;8;123;14;12;0.03;0.0003;43;3;0.01;0.0023;0.02;0.01;0.0063;293
236;1.26;16;0.0079;123;13;1;0.03;0.0005;37;3;0.02;0.0022;0.03;11;0.0052;311
252;1.33;17;0.0056;124;13;1;0.02;0.0003;44;4;0.02;0.0028;0.02;9;2;293
236;1.28;15;0.0067;125;14;5;0.03;0.0005;36;6;0.03;4;0.03;15;0.0043;321
223;1.23;15;0.0069;126;13;4;0.03;0.0004;41;6;0.02;3;0.03;6;0.0067;311
223;1.23;15;0.0069;126;13;4;0.03;0.0004;41;6;0.02;3;0.03;6;0.0067;302
232;1.27;13;0.0035;0.15;14;2;0.01;0.0003;29;2;0.01;0.0032;0.01;1;6;286
222;1.22;23;7;0.15;13;4;0.03;0.0005;0.03;8;0.02;0.0024;0.02;15;0.0064;311
254;1.24;17;0.0054;0.15;13;1;0.02;0.0005;31;3;0.01;0.0025;0.02;6;0.0038;311
226;1.27;12;1;0.15;15;6;0.01;0.0005;37;2;0.01;0.0037;0.01;3;4;302
222;1.28;13;0.0027;0.15;13;2;0.01;0.0003;0.03;2;0.01;0.0029;0.01;2;0.0047;277
227;1.26;12;3;0.15;15;2;0.01;0.0003;24;2;0.02;0.0037;0.01;4;0.0054;293
235;1.23;21;0.0079;0.1;11;5;0.04;0.0004;42;5;0.03;0.0032;0.05;15;4;311
242;1.22;14;0.0047;0.1;11;11;0.02;0.0005;41;2;0.01;0.0024;0.02;6;8;302
234;1.24;19;0.0058;0.1;11;1;0.04;0.0005;44;4;0.02;0.0017;0.03;0.01;0.0048;321
252;1.25;16;7;101;13;4;0.03;0.0004;41;6;0.03;0.0035;0.03;15;0.0055;321
227;1.28;23;0.0072;103;12;5;0.04;0.0004;33;8;0.02;0.0022;0.04;15;0.0046;293
241;1.26;17;8;104;11;4;0.02;0.0004;45;5;0.03;0.0022;0.03;0.01;0.0059;302
234;1.24;18;8;118;12;1;0.03;0.0003;36;3;0.03;0.0016;0.02;9;0.0064;311
0.22;1.24;15;8;118;12;3;0.03;0.0004;44;5;0.02;0.0024;0.02;13;0.0048;311
239;1.26;16;0.0076;119;15;4;0.03;0.0003;43;6;0.03;0.0025;0.03;0.01;0.0059;321
233;1.27;12;0.0051;0.12;14;3;0.03;0.0005;41;5;0.03;0.0023;0.03;15;0.0053;302
0.22;1.26;17;0.0051;0.12;15;3;0.03;0.0005;39;5;0.02;0.0022;0.03;13;0.0061;311
0.22;1.24;14;8;0.12;12;3;0.03;0.0005;35;5;0.02;0.0032;0.03;15;0.0045;321
231;1.26;16;0.0055;0.13;11;1;0.02;0.0003;34;4;0.03;0.0018;0.03;6;0.0051;311
0.23;1.26;14;4;0.13;13;2;0.01;0.0003;27;1;0.01;0.0022;0.01;3;0.0064;286
228;1.26;13;3;0.13;12;0.01;0.03;0.0004;0.04;2;0.03;0.0023;0.02;7;0;293
0.23;1.23;16;0.0079;0.13;0.01;1;0.03;0.0002;0.04;2;0.04;2;0.02;9;0.0056;302
245;1.26;0.02;0.0052;131;14;5;0.03;0.0005;37;5;0.01;0.0023;0.02;14;0.0033;293
231;1.26;19;0.0049;131;12;1;0.02;0.0002;38;3;0.04;0.0027;0.03;6;0.0035;311
0.22;1.24;16;0.0076;132;13;4;0.03;0.0005;0.04;5;0.02;0.0025;0.03;15;0.0054;321
223;1.23;19;0.0057;115;12;1;0.02;0.0002;39;4;0.02;0.0017;0.02;6;0.0053;311
233;1.28;13;0.0052;116;0.01;1;0.02;0.0003;38;4;0.02;0.0029;0.03;7;0.0037;321
242;1.25;17;0.0056;117;12;1;0.03;0.0004;35;3;0.03;0.0021;0.04;13;0.0008;332
238;1.25;13;0.0049;117;11;14;0.02;0.0003;45;4;0.02;0.0019;0.02;7;0;311
0.23;1.26;15;5;118;11;1;0.03;0.0005;35;4;0.04;0.0027;0.03;8;0;321
251;1.26;0.01;0.0057;118;9;1;0.01;0.0002;37;3;0.02;0.0028;0.03;7;0.0062;293
234;1.24;18;8;118;12;1;0.03;0.0003;36;3;0.03;0.0016;0.02;9;0.0064;311
0.22;1.24;15;8;118;12;3;0.03;0.0004;44;5;0.02;0.0024;0.02;13;0.0048;311
239;1.26;16;0.0076;119;15;4;0.03;0.0003;43;6;0.03;0.0025;0.03;0.01;0.0059;321
